Indicador,IndicadorDetalhe,Data,DataReferencia,Media,Mediana,DesvioPadrao,Minimo,Maximo,numeroRespondentes,baseCalculo
Balança comercial,Exportações,2002-01-02,2005,77.3,79.0,5.96,68.0,90.8,,0
Balança comercial,Exportações,2002-01-03,2001,58.46,58.41,0.37,57.6,59.71,,0
Balança comercial,Exportações,2002-01-03,2002,60.76,60.6,1.79,55.02,66.0,,0
Balança comercial,Exportações,2002-01-03,2003,66.03,66.0,2.68,61.0,71.9,,0
Balança comercial,Exportações,2002-01-03,2004,71.12,72.0,4.19,63.3,80.5,,0
Balança comercial,Exportações,2002-01-03,2005,77.3,79.0,5.96,68.0,90.8,,0
Balança comercial,Exportações,2002-01-04,2001,58.45,58.4,0.35000000000000003,57.8,59.71,,0
Balança comercial,Exportações,2002-01-04,2002,60.7,60.5,1.74,55.02,66.0,,0
Balança comercial,Exportações,2002-01-04,2003,65.75,66.0,2.56,61.0,71.9,,0
Balança comercial,Exportações,2002-01-04,2004,71.08,72.0,4.16,63.3,80.5,,0
Balança comercial,Exportações,2002-01-04,2005,77.44,79.0,5.83,68.0,90.8,,0
Balança comercial,Exportações,2002-01-07,2002,60.76,60.5,1.72,55.02,66.0,,0
Balança comercial,Exportações,2002-01-07,2003,65.89,66.0,2.65,61.0,71.9,,0
Balança comercial,Exportações,2002-01-07,2004,71.08,72.0,4.16,63.3,80.5,,0
Balança comercial,Exportações,2002-01-07,2005,77.44,79.0,5.83,68.0,90.8,,0
Balança comercial,Exportações,2002-01-08,2002,60.77,60.6,1.71,55.02,66.0,,0
Balança comercial,Exportações,2002-01-08,2003,65.82,66.0,2.64,61.0,71.9,,0
Balança comercial,Exportações,2002-01-08,2004,71.1,72.0,4.08,63.3,80.5,,0
Balança comercial,Exportações,2002-01-08,2005,77.33,79.0,5.7,68.0,90.8,,0
Balança comercial,Exportações,2002-01-08,2006,79.3,79.3,0.0,79.3,79.3,,0
Balança comercial,Exportações,2002-01-09,2002,60.77,60.6,1.71,55.02,66.0,,0
Balança comercial,Exportações,2002-01-09,2003,65.82,66.0,2.64,61.0,71.9,,0
Balança comercial,Exportações,2002-01-09,2004,71.1,72.0,4.08,63.3,80.5,,0
Balança comercial,Exportações,2002-01-09,2005,77.33,79.0,5.7,68.0,90.8,,0
Balança comercial,Exportações,2002-01-09,2006,79.3,79.3,0.0,79.3,79.3,,0
Balança comercial,Exportações,2002-01-10,2002,60.8,60.73,1.69,55.02,66.0,,0
Balança comercial,Exportações,2002-01-10,2003,65.75,66.0,2.69,61.0,71.9,,0
Balança comercial,Exportações,2002-01-10,2004,70.98,72.0,4.04,63.3,80.5,,0
Balança comercial,Exportações,2002-01-10,2005,77.08,79.0,5.67,68.0,90.8,,0
Balança comercial,Exportações,2002-01-10,2006,79.66,79.3,8.84,71.0,94.0,,0
Balança comercial,Exportações,2002-01-11,2002,60.73,60.7,1.67,55.02,66.0,,0
Balança comercial,Exportações,2002-01-11,2003,65.75,66.0,2.69,61.0,71.9,,0
Balança comercial,Exportações,2002-01-11,2004,71.06,72.0,4.08,63.3,80.5,,0
Balança comercial,Exportações,2002-01-11,2005,77.17,79.0,5.67,68.0,90.8,,0
Balança comercial,Exportações,2002-01-11,2006,80.05,79.65,7.97,71.0,94.0,,0
Balança comercial,Exportações,2002-01-14,2002,60.72,60.73,1.71,55.02,66.0,,0
Balança comercial,Exportações,2002-01-14,2003,65.74,65.75,2.7,61.0,71.9,,0
Balança comercial,Exportações,2002-01-14,2004,71.03,72.0,4.1,64.0,80.5,,0
Balança comercial,Exportações,2002-01-14,2005,77.08,78.5,5.8,68.0,90.8,,0
Balança comercial,Exportações,2002-01-14,2006,80.05,79.65,7.97,71.0,94.0,,0
Balança comercial,Exportações,2002-01-15,2002,60.72,60.73,1.71,55.02,66.0,,0
Balança comercial,Exportações,2002-01-15,2003,65.76,66.0,2.67,61.0,71.9,,0
Balança comercial,Exportações,2002-01-15,2004,71.08,72.0,4.03,64.0,80.5,,0
Balança comercial,Exportações,2002-01-15,2005,77.17,79.0,5.66,68.0,90.8,,0
